title,description,ingredients,steps,dietary_tags,image_url
"Spaghetti Aglio e Olio","Classic Italian pasta with garlic, olive oil, and chili flakes.","Spaghetti,Garlic,Olive Oil,Chili Flakes,Parsley,Salt","1. Cook spaghetti until al dente. 2. Sauté garlic and chili in olive oil. 3. Toss with pasta and parsley.","[""vegetarian"",""dairy-free""]","https://example.com/images/aglioeolio.jpg"
"Chicken Caesar Salad","Crisp romaine lettuce with grilled chicken, croutons, and Caesar dressing.","Chicken Breast,Romaine Lettuce,Croutons,Parmesan,Olive Oil,Caesar Dressing","1. Grill chicken and slice. 2. Toss lettuce with dressing. 3. Add chicken, croutons, and Parmesan.","[""high-protein""]","https://example.com/images/caesarsalad.jpg"
"Vegan Tofu Stir-Fry","Tofu and vegetables cooked in soy sauce and sesame oil.","Tofu,Broccoli,Carrots,Bell Pepper,Soy Sauce,Garlic,Sesame Oil","1. Stir-fry tofu until golden. 2. Add vegetables and sauce. 3. Serve with rice.","[""vegan"",""gluten-free""]","https://example.com/images/tofustirfry.jpg"
"Beef Tacos","Mexican-style tacos with spiced beef and toppings.","Ground Beef,Taco Shells,Tomato,Lettuce,Cheddar,Onion,Garlic","1. Cook beef with spices. 2. Fill taco shells and top with veggies and cheese.","[""gluten-free""]","https://example.com/images/beeftacos.jpg"
"Avocado Toast","Toasted bread topped with smashed avocado and seasoning.","Bread,Avocado,Lemon Juice,Olive Oil,Chili Flakes,Salt,Pepper","1. Toast bread. 2. Mash avocado with lemon juice. 3. Spread and season.","[""vegetarian""]","https://example.com/images/avocadotoast.jpg"
"Tom Yum Soup","Spicy and sour Thai soup with shrimp and lemongrass.","Shrimp,Lemongrass,Galangal,Lime,Chili,Fish Sauce,Mushrooms","1. Boil broth with herbs. 2. Add shrimp and mushrooms. 3. Season with lime and chili.","[""seafood"",""spicy""]","https://example.com/images/tomyum.jpg"
"Margherita Pizza","Classic pizza with tomato sauce, mozzarella, and basil.","Pizza Dough,Tomato Sauce,Mozzarella,Basil,Olive Oil,Salt","1. Spread sauce over dough. 2. Add cheese and basil. 3. Bake until golden.","[""vegetarian""]","https://example.com/images/margheritapizza.jpg"
"Beef Stroganoff","Creamy beef and mushroom dish served with pasta.","Beef,Mushrooms,Onion,Sour Cream,Butter,Pasta","1. Cook beef and mushrooms. 2. Stir in sour cream. 3. Serve over pasta.","[""high-protein""]","https://example.com/images/beefstroganoff.jpg"
"Greek Salad","Fresh salad with feta, olives, and cucumber.","Cucumber,Tomato,Olives,Feta,Red Onion,Olive Oil,Oregano","1. Chop veggies. 2. Toss with olive oil and oregano. 3. Top with feta.","[""vegetarian"",""gluten-free""]","https://example.com/images/greeksalad.jpg"
"Banana Pancakes","Fluffy pancakes made with mashed bananas.","Banana,Flour,Milk,Egg,Baking Powder,Sugar,Butter","1. Mix ingredients. 2. Cook on skillet. 3. Serve warm with syrup.","[""vegetarian""]","https://example.com/images/bananapancakes.jpg"
"Butter Chicken","Creamy Indian chicken curry with tomato and spices.","Chicken,Tomato,Butter,Cream,Garlic,Ginger,Spices","1. Marinate chicken. 2. Cook in tomato-butter sauce. 3. Add cream and serve.","[""gluten-free""]","https://example.com/images/butterchicken.jpg"
